IDPersona,IDAnimal,IndicacionMedica
22,62,Rehabilitación después de un trauma
25,91,Problemas respiratorios
72,55,Fractura en la pata trasera
83,50,Fractura en la pata trasera
54,60,Enfermedades del corazón
64,33,Cuidados geriátricos
74,91,Problemas renales
61,100,Cáncer
85,23,Problemas dentales
2,99,Enfermedades del corazón
2,45,Dolor crónico
31,59,Alergias alimentarias
56,63,Ejercicio y pérdida de peso
85,13,Cuidados geriátricos
61,20,Ejercicio y pérdida de peso
64,29,Desnutrición
23,82,Diabético
22,67,Enfermedades de la piel
7,27,Problemas renales
41,81,Enfermedades del corazón
9,8,Problemas respiratorios
80,38,Enfermedades de la piel
47,63,Infecciones de oído
29,50,Enfermedades de la piel
6,9,Cáncer
16,93,Prevención de enfermedades contagiosas
35,66,Ejercicio y pérdida de peso
31,20,Dolor crónico
7,75,Problemas renales
5,80,Cuidados prenatales
86,63,Problemas respiratorios
32,78,Fractura en la pata trasera
43,73,Control de parásitos
22,83,Problemas oculares
59,96,Seguimiento de enfermedades crónicas
54,85,Diabético
9,38,Dolor crónico
8,43,Atención de heridas
20,86,Cáncer
62,79,Tratamiento de pulgas y garrapatas
79,65,Rehabilitación después de un trauma
50,71,Rehabilitación después de un trauma
29,34,Tratamiento postoperatorio
52,85,Vacunación anual
80,27,Desnutrición
73,48,Infecciones de oído
85,54,Vacunación anual
70,3,Embarazo
29,36,Infecciones de oído
41,44,Problemas dentales
95,99,Infecciones de oído
6,76,Infecciones de oído
73,29,Esterilización
19,66,Enfermedades del corazón
96,97,Vacunación anual
41,100,Enfermedades de la piel
85,24,Rehabilitación después de un trauma
72,64,Enfermedades de la piel
89,24,Control de parásitos
62,53,Problemas oculares
71,5,Tratamiento de pulgas y garrapatas
81,71,Problemas respiratorios
77,50,Control de parásitos
49,83,Cáncer
8,5,Problemas de comportamiento
31,96,Seguimiento de enfermedades crónicas
60,24,Problemas renales
68,81,Atención de heridas
92,79,Problemas renales
89,11,Cuidados geriátricos
21,30,Alergias alimentarias
4,94,Desnutrición
11,69,Problemas de comportamiento
82,15,Diabético
38,55,Alergias alimentarias
70,26,Control de parásitos
57,15,Infecciones de oído
33,69,Desnutrición
30,93,Problemas dentales
61,29,Seguimiento de enfermedades crónicas
70,25,Cuidados prenatales
27,84,Tratamiento de pulgas y garrapatas
32,23,Problemas respiratorios
76,47,Vacunación anual
51,81,Problemas renales
12,60,Enfermedades del corazón
12,5,Problemas oculares
84,74,Atención de heridas
96,14,Control de parásitos
43,53,Cuidados geriátricos
63,14,Diabético
64,64,Problemas de comportamiento
45,22,Problemas de comportamiento
85,28,Seguimiento de enfermedades crónicas
42,52,Problemas renales
10,39,Diabético
47,20,Alergias alimentarias
29,4,Dolor crónico
23,45,Cuidados prenatales
89,7,Problemas renales
