IDBioma,IDInsumo
2,63
3,27
3,25
8,47
3,45
8,71
8,89
3,25
5,61
3,30
2,28
8,70
6,32
3,91
7,58
7,57
6,98
5,22
2,12
7,6
8,56
7,40
8,2
5,57
7,87
1,61
2,17
3,49
5,47
8,15
7,60
8,14
2,37
7,73
6,45
2,1
4,51
1,79
7,9
2,50
2,26
1,84
2,15
1,1
7,49
1,67
4,86
2,50
3,81
4,94
7,99
8,87
5,9
5,11
2,47
3,79
4,74
6,65
4,55
8,68
8,31
7,83
5,6
5,67
4,61
5,32
4,47
5,79
2,69
5,68
8,5
5,34
2,5
1,85
3,11
7,93
6,2
6,27
2,99
5,1
6,57
8,61
6,81
2,83
6,96
6,75
5,53
5,96
4,35
8,100
8,4
8,67
7,83
6,26
3,10
8,22
4,41
7,62
7,10
3,74
