IDBioma,IDInsumo
6,33
5,6
7,77
5,73
5,86
4,14
6,22
6,3
1,5
5,91
7,4
4,92
1,42
3,63
4,23
2,74
5,15
4,3
6,96
4,39
3,29
3,81
3,28
6,17
3,95
5,27
1,68
8,20
2,62
7,63
1,35
1,29
7,29
3,58
4,27
2,45
3,60
4,54
6,38
5,33
5,75
8,11
2,22
2,52
7,91
2,66
3,77
7,45
1,4
2,98
4,46
7,25
2,81
2,25
2,43
3,75
6,34
4,48
8,81
6,97
2,65
7,30
6,6
5,90
3,63
4,84
7,74
8,53
6,56
5,13
4,46
6,27
8,95
1,26
2,96
7,96
8,53
6,78
6,4
3,100
5,43
6,33
5,29
8,79
3,31
5,39
3,82
4,12
7,1
2,45
3,20
3,21
3,43
2,75
5,62
2,41
5,17
3,47
8,59
3,24
