IDInsumo,Nombre,Caducidad,Cantidad,Refrigeracion,Tipo,Laboratorio
1,Oxitetraciclina,2026-04-27,246,true,Antiinflamatorio,VetFarm Labs
2,Neomycin,2025-05-01,764,true,Antiviral,BioZootecno
3,Omeprazol,2025-03-05,421,false,Antiviral,ZootecnoMedix
4,Ciclosporina,2024-09-10,783,true,Antiparasitario,AnimalCure Formulations
5,Fenbendazol,2028-10-27,626,true,Antibiótico,AnimalGuard Labs
6,Amantadine,2023-02-06,343,false,Desparasitante,ZootecnoMedix
7,Naproxen,2032-11-22,253,true,Antibiótico,ZootecnoLife Solutions
8,Dihydrostreptomycin,2026-02-14,720,false,Vitamina,ZooSafe Formulas
9,Bromhexina,2034-02-12,335,true,Antihistamínico,FarmAnimal Health
10,Trimethoprim,2020-02-07,979,false,Vitamina,ZootecnoLife Solutions
11,Prednisone,2027-10-05,308,true,Inmunosupresor,ZooPharmaTech
12,Famciclovir,2028-03-14,614,false,Desparasitante,ZooMedicine Solutions
13,Trazodone,2024-10-02,500,true,Anestesia,ZooPro Health
14,Pentoxifylline,2029-01-10,432,false,Analgésico,ZooCare Pharmaceuticals
15,Tolazoline,2020-10-14,415,false,Antihistamínico,AgroVet Labs
16,Dexametasona,2033-04-15,761,true,Antiinflamatorio,AnimalGuard Labs
17,Sevoflurane,2023-03-08,439,true,Antiviral,FarmVet Innovations
18,Fluoxetine,2021-07-29,853,true,Antiviral,FarmAnimal Health
19,Tylosin,2033-12-26,589,false,Desparasitante,VetPro Research
20,Ketamine,2034-07-03,113,true,Antibiótico,ZooPro Health
21,Marbofloxacina,2029-07-14,488,true,Vitamina,LivestockPharma
22,Dihydrostreptomycin,2022-11-29,604,true,Antiinflamatorio,ZooCare Pharmaceuticals
23,Lansoprazole,2025-02-24,892,false,Antifúngico,AnimalWise Innovations
24,Famciclovir,2031-12-27,593,true,Antifúngico,ZooCare Technologies
25,Fenilbutazona,2027-06-22,669,true,Antiviral,LivestockRx Solutions
26,Ibuprofen,2022-10-20,747,false,Anestesia,AnimalWise Innovations
27,Loratadina,2023-04-11,309,false,Analgésico,AnimalLife Labs
28,Tramadol,2025-07-28,229,true,Antiparasitario,AnimalGuard Labs
29,Toltramate,2033-05-08,873,true,Antiparasitario,AgriVet Research
30,Fluoxetine,2027-03-10,383,false,Antibiótico,ZooVet Health
31,Meloxicam,2020-10-15,805,false,Vitamina,ZooGuard Innovations
32,Penicillin,2033-04-14,838,false,Inmunosupresor,ZootecnoPharmaTech
33,Dihydrostreptomycin,2023-09-21,851,false,Antiviral,ZooVet Innovations
34,Chlorpheniramine,2020-01-19,813,true,Antihistamínico,AgroVet Solutions
