IDPersona,IDInsumo
45,93
47,48
31,94
75,99
41,31
8,13
84,47
63,71
87,71
63,13
76,20
67,11
75,8
62,59
82,58
22,77
22,37
74,78
1,53
19,53
41,69
38,19
88,58
98,63
92,8
56,3
32,68
97,58
58,67
24,37
78,7
15,87
67,34
10,34
6,43
1,54
26,66
45,68
24,69
91,97
94,55
96,8
66,38
94,47
85,100
37,98
60,94
65,69
2,19
75,62
40,15
48,87
12,12
9,45
1,63
11,22
67,15
29,93
18,9
51,23
88,64
1,55
68,87
19,25
41,34
16,60
8,91
29,42
92,50
7,48
60,82
84,48
29,11
35,68
67,43
24,90
1,88
47,75
36,38
12,74
81,3
61,47
56,82
86,70
77,35
86,37
33,68
69,67
4,44
33,95
58,7
67,13
18,1
38,57
5,35
33,36
67,51
63,32
93,82
14,52
