IDBioma,IDPersona
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
1,9
2,10
3,11
4,12
5,13
6,14
7,15
8,16
1,17
2,18
3,19
4,20
5,21
6,22
7,23
8,24
1,25
2,26
3,27
4,28
5,29
6,30
7,31
8,32
1,33
2,34
3,35
4,36
5,37
6,38
7,39
8,40
1,41
2,42
3,43
4,44
5,45
6,46
7,47
8,48
1,49
2,50
3,51
4,52
5,53
6,54
7,55
8,56
1,57
2,58
3,59
4,60
5,61
6,62
7,63
8,64
1,65
2,66
3,67
4,68
5,69
6,70
7,71
8,72
1,73
2,74
3,75
4,76
5,77
6,78
7,79
8,80
1,81
2,82
3,83
4,84
5,85
6,86
7,87
8,88
1,89
2,90
3,91
4,92
5,93
6,94
7,95
8,96
1,97
2,98
3,99
4,100
